mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,runs_last_5,wickets_last_5,striker,non-striker
654,15-10-2011,Shere Bangla National Stadium,Bangladesh,West Indies,Mushfiqur Rahim,AD Russell,136,6,37.1,16,0,58,9
1010,02-08-2015,Harare Sports Club,New Zealand,Zimbabwe,LRPL Taylor,T Panyangara,277,4,47.6,48,1,97,4
